turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision
31,4.17632,1,16,18,18,100,125,95,78,76,76,755,-1,-1,-1,-1,79,0,0,11.52136,16,9,18,18,98,123,86,103,93,100,-1,-1,-1,-1,-1,100,0,0,17.55952,8,9,18,18,101,110,126,51,61,76,414,151,-1,-1,-1,100,0,6,22.9866,3,1,18,18,66,60,98,135,90,73,524,-1,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,729,95,486,704,-1,86,0,2,13.59024,0,13,18,18,126,110,121,58,89,33,712,-1,-1,-1,-1,57,0,4,4,22.90652,2,2,18,18,130,72,116,77,77,43,641,806,313,-1,-1,100,281,0,7.7312,8,9,18,18,80,121,105,63,83,85,628,729,414,151,-1,84,0,6,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,234,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,36596.5848,9,5,1,3,302,100,100,125,125,100,90,159,384,-1,-1,-1,100,0,0,8.77012,2,16,18,18,86,71,103,110,103,50,835,-1,-1,-1,-1,84,234,0,5,2
32,4.17632,1,16,18,18,100,125,95,78,76,76,755,-1,-1,-1,-1,79,0,0,11.52136,16,9,18,18,98,123,86,103,93,100,-1,-1,-1,-1,-1,100,0,0,17.55952,8,9,18,18,101,110,126,51,61,76,414,151,-1,-1,-1,100,0,6,22.9866,3,1,18,18,66,60,98,135,90,73,524,-1,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,729,95,486,704,-1,60,0,2,13.59024,0,13,18,18,126,110,121,58,89,33,712,-1,-1,-1,-1,57,0,4,4,22.90652,2,2,18,18,130,72,116,77,77,43,641,806,313,-1,-1,94,281,0,7.7312,8,9,18,18,80,121,105,63,83,85,628,729,414,151,-1,84,0,6,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,234,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,36596.5848,9,5,1,3,302,100,100,125,125,100,90,159,384,-1,-1,-1,100,0,0,8.77012,2,16,18,18,86,71,103,110,103,50,835,-1,-1,-1,-1,65,234,0,0,3
33,4.17632,1,16,18,18,100,125,95,78,76,76,755,-1,-1,-1,-1,79,0,0,11.52136,16,9,18,18,98,123,86,103,93,100,-1,-1,-1,-1,-1,100,0,0,17.55952,8,9,18,18,101,110,126,51,61,76,414,151,-1,-1,-1,100,0,6,22.9866,3,1,18,18,66,60,98,135,90,73,524,-1,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,729,95,486,704,-1,94,0,2,13.59024,0,13,18,18,126,110,121,58,89,33,712,-1,-1,-1,-1,57,0,4,4,22.90652,2,2,18,18,130,72,116,77,77,43,641,806,313,-1,-1,100,281,0,7.7312,8,9,18,18,80,121,105,63,83,85,628,729,414,151,-1,84,0,6,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,234,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,36596.5848,9,5,1,3,302,100,100,125,125,100,90,159,384,-1,-1,-1,100,0,0,8.77012,2,16,18,18,86,71,103,110,103,50,835,-1,-1,-1,-1,65,234,0,0,4
34,4.17632,1,16,18,18,100,125,95,78,76,76,755,-1,-1,-1,-1,79,0,0,11.52136,16,9,18,18,98,123,86,103,93,100,-1,-1,-1,-1,-1,100,0,0,17.55952,8,9,18,18,101,110,126,51,61,76,414,151,-1,-1,-1,100,0,6,22.9866,3,1,18,18,66,60,98,135,90,73,524,-1,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,729,95,486,704,-1,88,0,2,13.59024,0,13,18,18,126,110,121,58,89,33,712,-1,-1,-1,-1,57,0,4,4,22.90652,2,2,18,18,130,72,116,77,77,43,641,806,313,-1,-1,100,281,0,7.7312,8,9,18,18,80,121,105,63,83,85,628,729,414,151,-1,84,0,6,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,234,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,36596.5848,9,5,1,3,302,100,100,125,125,100,90,159,384,-1,-1,-1,100,0,0,8.77012,2,16,18,18,86,71,103,110,103,50,835,-1,-1,-1,-1,65,234,0,1,2
35,4.17632,1,16,18,18,100,125,95,78,76,76,755,-1,-1,-1,-1,79,0,0,11.52136,16,9,18,18,98,123,86,103,93,100,-1,-1,-1,-1,-1,100,0,0,17.55952,8,9,18,18,101,110,126,51,61,76,414,151,-1,-1,-1,100,0,6,22.9866,3,1,18,18,66,60,98,135,90,73,524,-1,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,729,95,486,704,-1,88,0,2,13.59024,0,13,18,18,126,110,121,58,89,33,712,-1,-1,-1,-1,57,0,4,1,22.90652,2,2,18,18,130,72,116,77,77,43,641,806,313,-1,-1,94,281,0,7.7312,8,9,18,18,80,121,105,63,83,85,628,729,414,151,-1,84,0,6,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,234,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,36596.5848,9,5,1,3,302,100,100,125,125,100,90,159,384,-1,-1,-1,100,0,0,8.77012,2,16,18,18,86,71,103,110,103,50,835,-1,-1,-1,-1,65,234,0,0,6
36,4.17632,1,16,18,18,100,125,95,78,76,76,755,-1,-1,-1,-1,79,0,0,11.52136,16,9,18,18,98,123,86,103,93,100,-1,-1,-1,-1,-1,100,0,0,17.55952,8,9,18,18,101,110,126,51,61,76,414,151,-1,-1,-1,100,0,6,22.9866,3,1,18,18,66,60,98,135,90,73,524,-1,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,729,95,486,704,-1,73,0,2,13.59024,0,13,18,18,126,110,121,58,89,33,712,-1,-1,-1,-1,57,0,4,4,22.90652,2,2,18,18,130,72,116,77,77,43,641,806,313,-1,-1,100,281,0,7.7312,8,9,18,18,80,121,105,63,83,85,628,729,414,151,-1,84,0,6,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,234,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,36596.5848,9,5,1,3,302,100,100,125,125,100,90,159,384,-1,-1,-1,100,0,0,8.77012,2,16,18,18,86,71,103,110,103,50,835,-1,-1,-1,-1,65,234,0,0,9
37,4.17632,1,16,18,18,100,125,95,78,76,76,755,-1,-1,-1,-1,79,0,0,11.52136,16,9,18,18,98,123,86,103,93,100,-1,-1,-1,-1,-1,100,0,0,17.55952,8,9,18,18,101,110,126,51,61,76,414,151,-1,-1,-1,100,0,6,22.9866,3,1,18,18,66,60,98,135,90,73,524,-1,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,729,95,486,704,-1,66,0,2,13.59024,0,13,18,18,126,110,121,58,89,33,712,-1,-1,-1,-1,57,0,4,4,22.90652,2,2,18,18,130,72,116,77,77,43,641,806,313,-1,-1,100,281,0,7.7312,8,9,18,18,80,121,105,63,83,85,628,729,414,151,-1,84,0,6,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,234,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,36596.5848,9,5,1,3,302,100,100,125,125,100,90,159,384,-1,-1,-1,100,0,0,8.77012,2,16,18,18,86,71,103,110,103,50,835,-1,-1,-1,-1,98,234,0,5,2
38,4.17632,1,16,18,18,100,125,95,78,76,76,755,-1,-1,-1,-1,79,0,0,11.52136,16,9,18,18,98,123,86,103,93,100,-1,-1,-1,-1,-1,100,0,0,17.55952,8,9,18,18,101,110,126,51,61,76,414,151,-1,-1,-1,100,0,6,22.9866,3,1,18,18,66,60,98,135,90,73,524,-1,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,729,95,486,704,-1,66,0,2,13.59024,0,13,18,18,126,110,121,58,89,33,712,-1,-1,-1,-1,57,0,4,2,22.90652,2,2,18,18,130,72,116,77,77,43,641,806,313,-1,-1,100,281,0,7.7312,8,9,18,18,80,121,105,63,83,85,628,729,414,151,-1,84,0,6,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,234,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,36596.5848,9,5,1,3,302,100,100,125,125,100,90,159,384,-1,-1,-1,100,0,0,8.77012,2,16,18,18,86,71,103,110,103,50,835,-1,-1,-1,-1,100,234,0,5,7
39,4.17632,1,16,18,18,100,125,95,78,76,76,755,-1,-1,-1,-1,79,0,0,11.52136,16,9,18,18,98,123,86,103,93,100,-1,-1,-1,-1,-1,100,0,0,17.55952,8,9,18,18,101,110,126,51,61,76,414,151,194,-1,-1,100,0,6,22.9866,3,1,18,18,66,60,98,135,90,73,524,-1,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,729,95,486,704,-1,66,0,2,13.59024,0,13,18,18,126,110,121,58,89,33,712,-1,-1,-1,-1,57,0,4,2,22.90652,2,2,18,18,130,72,116,77,77,43,641,806,313,-1,-1,100,281,0,7.7312,8,9,18,18,80,121,105,63,83,85,628,729,414,151,-1,84,0,6,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,234,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,36596.5848,9,5,1,3,302,100,100,125,125,100,90,159,384,-1,-1,-1,100,0,0,8.77012,2,16,18,18,86,71,103,110,103,50,835,-1,-1,-1,-1,100,234,0,1,2
40,4.17632,1,16,18,18,100,125,95,78,76,76,755,-1,-1,-1,-1,79,0,0,11.52136,16,9,18,18,98,123,86,103,93,100,-1,-1,-1,-1,-1,100,0,0,17.55952,8,9,18,18,101,110,126,51,61,76,414,151,194,-1,-1,100,0,6,22.9866,3,1,18,18,66,60,98,135,90,73,524,-1,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,729,95,486,704,-1,60,0,2,13.59024,0,13,18,18,126,110,121,58,89,33,712,-1,-1,-1,-1,57,0,4,4,22.90652,2,2,18,18,130,72,116,77,77,43,641,806,313,-1,-1,100,281,0,7.7312,8,9,18,18,80,121,105,63,83,85,628,729,414,151,-1,97,0,6,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,234,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,36596.5848,9,5,1,3,302,100,100,125,125,100,90,159,384,-1,-1,-1,100,0,0,8.77012,2,16,18,18,86,71,103,110,103,50,835,-1,-1,-1,-1,100,234,0,1,9
41,4.17632,1,16,18,18,100,125,95,78,76,76,755,-1,-1,-1,-1,79,0,0,11.52136,16,9,18,18,98,123,86,103,93,100,-1,-1,-1,-1,-1,100,0,0,17.55952,8,9,18,18,101,110,126,51,61,76,414,151,194,-1,-1,100,0,6,22.9866,3,1,18,18,66,60,98,135,90,73,524,-1,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,729,95,486,704,-1,54,0,2,13.59024,0,13,18,18,126,110,121,58,89,33,712,-1,-1,-1,-1,57,0,4,4,22.90652,2,2,18,18,130,72,116,77,77,43,641,806,313,-1,-1,100,281,0,7.7312,8,9,18,18,80,121,105,63,83,85,628,729,414,151,-1,97,0,6,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,234,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,36596.5848,9,5,1,3,302,100,100,125,125,100,90,159,384,-1,-1,-1,100,0,0,8.77012,2,16,18,18,86,71,103,110,103,50,835,-1,-1,-1,-1,100,234,0,5,1
42,4.17632,1,16,18,18,100,125,95,78,76,76,755,-1,-1,-1,-1,79,0,0,11.52136,16,9,18,18,98,123,86,103,93,100,-1,-1,-1,-1,-1,100,0,0,17.55952,8,9,18,18,101,110,126,51,61,76,414,151,194,-1,-1,100,0,6,22.9866,3,1,18,18,66,60,98,135,90,73,524,-1,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,729,95,486,704,-1,64,0,2,13.59024,0,13,18,18,126,110,121,58,89,33,712,-1,-1,-1,-1,57,0,4,4,22.90652,2,2,18,18,130,72,116,77,77,43,641,806,313,-1,-1,100,281,0,7.7312,8,9,18,18,80,121,105,63,83,85,628,729,414,151,-1,97,0,6,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,234,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,36596.5848,9,5,1,3,302,100,100,125,125,100,90,159,384,-1,-1,-1,100,0,0,8.77012,2,16,18,18,86,71,103,110,103,50,835,-1,-1,-1,-1,100,234,0,1,4
43,4.17632,1,16,18,18,100,125,95,78,76,76,755,-1,-1,-1,-1,79,0,0,11.52136,16,9,18,18,98,123,86,103,93,100,-1,-1,-1,-1,-1,100,0,0,17.55952,8,9,18,18,101,110,126,51,61,76,414,151,194,-1,-1,100,0,6,22.9866,3,1,18,18,66,60,98,135,90,73,524,-1,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,729,95,486,704,-1,58,0,2,13.59024,0,13,18,18,126,110,121,58,89,33,712,-1,-1,-1,-1,57,0,4,4,22.90652,2,2,18,18,130,72,116,77,77,43,641,806,313,-1,-1,100,281,0,7.7312,8,9,18,18,80,121,105,63,83,85,628,729,414,151,-1,82,0,6,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,234,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,36596.5848,9,5,1,3,302,100,100,125,125,100,90,159,384,-1,-1,-1,100,0,0,8.77012,2,16,18,18,86,71,103,110,103,50,835,-1,-1,-1,-1,100,234,0,1,3
44,4.17632,1,16,18,18,100,125,95,78,76,76,755,-1,-1,-1,-1,79,0,0,11.52136,16,9,18,18,98,123,86,103,93,100,-1,-1,-1,-1,-1,100,0,0,17.55952,8,9,18,18,101,110,126,51,61,76,414,151,194,-1,-1,100,0,6,22.9866,3,1,18,18,66,60,98,135,90,73,524,-1,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,729,95,486,704,-1,52,0,2,13.59024,0,13,18,18,126,110,121,58,89,33,712,-1,-1,-1,-1,57,0,4,4,22.90652,2,2,18,18,130,72,116,77,77,43,641,806,313,-1,-1,100,281,0,7.7312,8,9,18,18,80,121,105,63,83,85,628,729,414,151,-1,82,0,6,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,234,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,36596.5848,9,5,1,3,302,100,100,125,125,100,90,159,384,-1,-1,-1,100,0,0,8.77012,2,16,18,18,86,71,103,110,103,50,835,-1,-1,-1,-1,100,234,0,5,1
45,4.17632,1,16,18,18,100,125,95,78,76,76,755,-1,-1,-1,-1,79,0,0,11.52136,16,9,18,18,98,123,86,103,93,100,-1,-1,-1,-1,-1,100,0,0,17.55952,8,9,18,18,101,110,126,51,61,76,414,151,194,-1,-1,40,0,6,22.9866,3,1,18,18,66,60,98,135,90,73,524,-1,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,729,95,486,704,-1,52,0,2,13.59024,0,13,18,18,126,110,121,58,89,33,712,-1,-1,-1,-1,57,0,4,2,22.90652,2,2,18,18,130,72,116,77,77,43,641,806,313,-1,-1,100,281,0,7.7312,8,9,18,18,80,121,105,63,83,85,628,729,414,151,-1,82,0,6,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,234,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,36596.5848,9,5,1,3,302,100,100,125,125,100,90,159,384,-1,-1,-1,100,0,0,8.77012,2,16,18,18,86,71,103,110,103,50,835,641,-1,-1,-1,100,234,0,5,7
46,4.17632,1,16,18,18,100,125,95,78,76,76,755,-1,-1,-1,-1,79,0,0,11.52136,16,9,18,18,98,123,86,103,93,100,-1,-1,-1,-1,-1,100,0,0,17.55952,8,9,18,18,101,110,126,51,61,76,414,151,194,-1,-1,0,0,6,22.9866,3,1,18,18,66,60,98,135,90,73,524,-1,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,729,95,486,704,-1,52,0,2,13.59024,0,13,18,18,126,110,121,58,89,33,712,-1,-1,-1,-1,57,0,4,3,22.90652,2,2,18,18,130,72,116,77,77,43,641,806,313,-1,-1,100,281,0,7.7312,8,9,18,18,80,121,105,63,83,85,628,729,414,151,-1,82,0,6,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,234,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,36596.5848,9,5,1,3,302,100,100,125,125,100,90,159,384,-1,-1,-1,100,0,0,8.77012,2,16,18,18,86,71,103,110,103,50,835,641,-1,-1,-1,57,234,0,5,8
47,4.17632,1,16,18,18,100,125,95,78,76,76,755,-1,-1,-1,-1,79,0,0,11.52136,16,9,18,18,98,123,86,103,93,100,-1,-1,-1,-1,-1,100,0,0,17.55952,8,9,18,18,101,110,126,51,61,76,414,151,194,-1,-1,0,0,6,22.9866,3,1,18,18,66,60,98,135,90,73,524,794,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,729,95,486,704,-1,52,0,2,13.59024,0,13,18,18,126,110,121,58,89,33,712,-1,-1,-1,-1,57,0,4,3,22.90652,2,2,18,18,130,72,116,77,77,43,641,806,313,-1,-1,88,281,0,7.7312,8,9,18,18,80,121,105,63,83,85,628,729,414,151,-1,82,0,6,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,234,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,36596.5848,9,5,1,3,302,100,100,125,125,100,90,159,384,-1,-1,-1,100,0,0,8.77012,2,16,18,18,86,71,103,110,103,50,835,641,-1,-1,-1,0,234,0,0,1
48,4.17632,1,16,18,18,100,125,95,78,76,76,755,-1,-1,-1,-1,79,0,0,11.52136,16,9,18,18,98,123,86,103,93,100,-1,-1,-1,-1,-1,100,0,0,17.55952,8,9,18,18,101,110,126,51,61,76,414,151,194,-1,-1,0,0,6,22.9866,3,1,18,18,66,60,98,135,90,73,524,794,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,729,95,486,704,-1,52,0,2,13.59024,0,13,18,18,126,110,121,58,89,33,712,-1,-1,-1,-1,57,0,4,3,22.90652,2,2,18,18,130,72,116,77,77,43,641,806,313,-1,-1,0,281,0,7.7312,8,9,18,18,80,121,105,63,83,85,628,729,414,151,-1,82,0,6,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,234,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,88,0,0,36596.5848,9,5,1,3,302,100,100,125,125,100,90,159,384,-1,-1,-1,100,0,0,8.77012,2,16,18,18,86,71,103,110,103,50,835,641,-1,-1,-1,0,234,0,3,2
49,4.17632,1,16,18,18,100,125,95,78,76,76,755,-1,-1,-1,-1,79,0,0,11.52136,16,9,18,18,98,123,86,103,93,100,-1,-1,-1,-1,-1,100,0,0,17.55952,8,9,18,18,101,110,126,51,61,76,414,151,194,-1,-1,0,0,6,22.9866,3,1,18,18,66,60,98,135,90,73,524,794,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,729,95,486,704,-1,52,0,2,13.59024,0,13,18,18,126,110,121,58,89,33,712,-1,-1,-1,-1,26,0,4,5,22.90652,2,2,18,18,130,72,116,77,77,43,641,806,313,-1,-1,0,281,0,7.7312,8,9,18,18,80,121,105,63,83,85,628,729,414,151,-1,82,0,6,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,234,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,171,-1,-1,-1,88,0,0,36596.5848,9,5,1,3,302,100,100,125,125,100,90,159,384,-1,-1,-1,100,0,0,8.77012,2,16,18,18,86,71,103,110,103,50,835,641,-1,-1,-1,0,234,0,3,10
50,4.17632,1,16,18,18,100,125,95,78,76,76,755,-1,-1,-1,-1,79,0,0,11.52136,16,9,18,18,98,123,86,103,93,100,-1,-1,-1,-1,-1,100,0,0,17.55952,8,9,18,18,101,110,126,51,61,76,414,151,194,-1,-1,0,0,6,22.9866,3,1,18,18,66,60,98,135,90,73,524,794,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,729,95,486,704,-1,52,0,2,13.59024,0,13,18,18,126,110,121,58,89,33,712,306,-1,-1,-1,26,0,4,5,22.90652,2,2,18,18,130,72,116,77,77,43,641,806,313,-1,-1,0,281,0,7.7312,8,9,18,18,80,121,105,63,83,85,628,729,414,151,-1,65,0,6,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,234,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,171,-1,-1,-1,88,0,0,36596.5848,9,5,1,3,302,100,100,125,125,100,90,159,384,-1,-1,-1,100,0,0,8.77012,2,16,18,18,86,71,103,110,103,50,835,641,-1,-1,-1,0,234,0,1,1
51,4.17632,1,16,18,18,100,125,95,78,76,76,755,-1,-1,-1,-1,79,0,0,11.52136,16,9,18,18,98,123,86,103,93,100,-1,-1,-1,-1,-1,100,0,0,17.55952,8,9,18,18,101,110,126,51,61,76,414,151,194,-1,-1,0,0,6,22.9866,3,1,18,18,66,60,98,135,90,73,524,794,-1,-1,-1,100,0,0,1.59464,17,2,18,18,96,73,101,93,98,76,729,95,486,704,-1,52,0,2,13.59024,0,13,18,18,126,110,121,58,89,33,712,306,-1,-1,-1,26,0,4,1,22.90652,2,2,18,18,130,72,116,77,77,43,641,806,313,-1,-1,0,281,0,7.7312,8,9,18,18,80,121,105,63,83,85,628,729,414,151,-1,78,0,6,3.46796,17,16,18,18,90,73,124,88,110,53,95,-1,-1,-1,-1,0,234,0,40.1014,17,14,18,18,91,68,75,105,113,102,75,171,-1,-1,-1,88,0,0,36596.5848,9,5,1,3,302,100,100,125,125,100,90,159,384,-1,-1,-1,100,0,0,8.77012,2,16,18,18,86,71,103,110,103,50,835,641,-1,-1,-1,0,234,0,1,6
